Service Name , Category , Route Name , Cost Basis , Unit , Base Cost , Notes , Vehicle Type , Passenger Capacity
Sedan Giza Station Dropoff , transport , Hotel-Cairo Station , per_group ,transfer ,22 €, One-way airport dropoff , Sedan , 1-2 pax
Sedan Cairo Day Tour 4 Hours , transport , Cairo City Day Tour, per_group ,tour,27 €, 4-hour city tour , Sedan , 1-2 pax
Sedan Cairo Day Tour 8 Hours , transport , Cairo City Day Tour, per_group ,tour,34 €, 8-hour city tour , Sedan , 1-2 pax
Sedan Cairo Day Tour 12 Hours , transport , Cairo City Day Tour, per_group ,tour,65 €, 12-hour city tour , Sedan , 1-2 pax
Sedan Cairo Day Tour 8 Hours + Dahshure, transport , Cairo City Day Tour, per_group ,tour,38 €, 8-hour city tour , Sedan , 1-2 pax
Sedan Cairo Sound & Light Show, transport ,Cairo S&L Transfer, per_group ,transfer ,22 €,2 hours, Sedan , 1-2 pax
Sedan Cairo Dinner Nile Cruise, transport ,Cairo Dinner Transfer, per_group ,transfer ,22 €,2-4 hours, Sedan , 1-2 pax
Sedan Cairo Outside Dinner, transport ,Cairo Outside Dinner Transfer, per_group ,transfer ,22 €,2 hours, Sedan , 1-2 pax
Sedan Cairo to Alexandria transfer, transport ,Cairo–Alexandria Transfer, per_group ,transfer ,84 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Alexandria Roundtrip, transport ,Cairo–Alexandria Roundtrip, per_group ,tour,96 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Alexandria Overnight, transport ,Cairo–Alexandria Overnight, per_group ,tour,141 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Al Fayoum transfer, transport ,Cairo–Fayoum Transfer, per_group ,transfer ,84 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Al Fayoum Roundtrip, transport ,Cairo–Fayoum Roundtrip, per_group ,tour,96 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Al Fayoum Overnight, transport ,Cairo–Fayoum Overnight, per_group ,tour,141 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Ras Sudr transfer, transport ,Cairo–Ras Sudr Transfer, per_group ,transfer ,84 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Ras Sudr Roundtrip, transport ,Cairo–Ras Sudr Roundtrip, per_group ,tour,96 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Ras Sudr Overnight, transport ,Cairo–Ras Sudr Overnight, per_group ,tour,141 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Ismailia transfer, transport ,Cairo–Ismailia Transfer, per_group ,transfer ,73 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Ismailia Roundtrip, transport ,Cairo–Ismailia Roundtrip, per_group ,tour,85 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Ain Sokhna transfer, transport ,Cairo–Ain Sokhna Transfer, per_group ,transfer ,73 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Ain Sokhna Roundtrip, transport ,Cairo–Ain Sokhna Roundtrip, per_group ,tour,85 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Ain Sokhna Overnight, transport ,Cairo–Ain Sokhna Overnight, per_group ,tour,130 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Hurghada transfer, transport ,Cairo–Hurghada Transfer, per_group ,transfer ,121 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Hurghada Overnight, transport ,Cairo–Hurghada Overnight, per_group ,tour,166 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Sharm El-Sheikh transfer, transport ,Cairo–Sharm El-Sheikh Transfer, per_group ,transfer ,135 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Sharm El-Sheikh Overnight, transport ,Cairo–Sharm El-Sheikh Overnight, per_group ,tour,180 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Marsa Alam transfer, transport ,Cairo–Marsa Alam Transfer, per_group ,transfer ,190 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Marsa Alam Overnight, transport ,Cairo–Marsa Alam Overnight, per_group ,tour,235 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Marsa Matrouh transfer, transport ,Cairo–Marsa Matrouh Transfer, per_group ,transfer ,121 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Marsa Matrouh Overnight, transport ,Cairo–Marsa Matrouh Overnight, per_group ,tour,166 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Al-Minya transfer, transport ,Cairo–Al-Minya Transfer, per_group ,transfer ,107 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to  Al-Minya Roundtrip, transport ,Cairo–Al-Minya Roundtrip, per_group ,tour,114 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to  Al-Minya Overnight, transport ,Cairo–Al-Minya Overnight, per_group ,tour,130 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Bahariya Oasis transfer, transport ,Cairo–Bahariya Oasis Transfer, per_group ,transfer ,190 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Bahariya Oasis  Roundtrip, transport ,Cairo–Bahariya Oasis Roundtrip, per_group ,tour,207 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Bahariya Oasis  Overnight, transport ,Cairo–Bahariya Oasis Overnight, per_group ,tour,225 €,48 hours, Sedan , 1-2 pax
Sedan Cairo to Siwa Oasis transfer, transport ,Cairo–Siwa Oasis Transfer, per_group ,transfer ,190 €,3-4 hours, Sedan , 1-2 pax
Sedan Cairo to Siwa Oasis  Roundtrip, transport ,Cairo–Siwa Oasis Roundtrip, per_group ,tour,207 €,9-10 hours, Sedan , 1-2 pax
Sedan Cairo to Siwa Oasis  Overnight, transport ,Cairo–Siwa Oasis Overnight, per_group ,tour,225 €,48 hours, Sedan , 1-2 pax
Hiace Cairo Airport Pickup , transport , Cairo Airport-Hotel , per_group ,transfer ,23 €, One-way airport pickup , Hiace , 3-7 pax
Hiace Cairo Airport Dropoff , transport , Hotel-Cairo Airport , per_group ,transfer ,23 €, One-way airport dropoff , Hiace , 3-7 pax
Hiace Cairo Airport Roundtrip , transport , Cairo Airport-Hotel-Airport , per_group ,transfer ,61 €, Round-trip airport service , Hiace , 3-7 pax
Hiace Giza Station Pickup , transport , Cairo Station-Hotel , per_group ,transfer ,23 €, One-way airport pickup , Hiace , 3-7 pax
Hiace Giza Station Dropoff , transport , Hotel-Cairo Station , per_group ,transfer ,23 €, One-way airport dropoff , Hiace , 3-7 pax
Hiace Cairo Day Tour 4 Hours , transport , Cairo City Day Tour, per_group ,tour,30 €, 4-hour city tour , Hiace , 3-7 pax
Hiace Cairo Day Tour 8 Hours , transport , Cairo City Day Tour, per_group ,tour,39 €, 8-hour city tour , Hiace , 3-7 pax
Hiace Cairo Day Tour 12 Hours , transport , Cairo City Day Tour, per_group ,tour,84 €, 12-hour city tour , Hiace , 3-7 pax
Hiace Cairo Day Tour 8 Hours + Dahshure, transport , Cairo City Day Tour, per_group ,tour,42 €, 8-hour city tour , Hiace , 3-7 pax
Hiace Cairo Sound & Light Show, transport ,Cairo S&L Transfer, per_group ,transfer ,23 €,2 hours, Hiace , 3-7 pax
Hiace Cairo Dinner Nile Cruise, transport ,Cairo Dinner Transfer, per_group ,transfer ,23 €,2-4 hours, Hiace , 3-7 pax
Hiace Cairo Outside Dinner, transport ,Cairo Outside Dinner Transfer, per_group ,transfer ,23 €,2 hours, Hiace , 3-7 pax
Hiace Cairo to Alexandria transfer, transport ,Cairo–Alexandria Transfer, per_group ,transfer ,99 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to Alexandria Roundtrip, transport ,Cairo–Alexandria Roundtrip, per_group ,tour,110 €,9-10 hours, Hiace , 3-7 pax
Hiace Cairo to Alexandria Overnight, transport ,Cairo–Alexandria Overnight, per_group ,tour,128 €,48 hours, Hiace , 3-7 pax
Hiace Cairo to Al Fayoum transfer, transport ,Cairo–Fayoum Transfer, per_group ,transfer ,99 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to Al Fayoum Roundtrip, transport ,Cairo–Fayoum Roundtrip, per_group ,tour,110 €,9-10 hours, Hiace , 3-7 pax
Hiace Cairo to Al Fayoum Overnight, transport ,Cairo–Fayoum Overnight, per_group ,tour,128 €,48 hours, Hiace , 3-7 pax
Hiace Cairo to Ras Sudr transfer, transport ,Cairo–Ras Sudr Transfer, per_group ,transfer ,99 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to Ras Sudr Roundtrip, transport ,Cairo–Ras Sudr Roundtrip, per_group ,tour,110 €,9-10 hours, Hiace , 3-7 pax
Hiace Cairo to Ras Sudr Overnight, transport ,Cairo–Ras Sudr Overnight, per_group ,tour,128 €,48 hours, Hiace , 3-7 pax
Hiace Cairo to Ismailia transfer, transport ,Cairo–Ismailia Transfer, per_group ,transfer ,86 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to Ismailia Roundtrip, transport ,Cairo–Ismailia Roundtrip, per_group ,tour,98 €,9-10 hours, Hiace , 3-7 pax
Hiace Cairo to Ismailia Overnight, transport ,Cairo–Ismailia Overnight, per_group ,tour,158 €,48 hours, Hiace , 3-7 pax
Hiace Cairo to Ain Sokhna transfer, transport ,Cairo–Ain Sokhna Transfer, per_group ,transfer ,86 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to Ain Sokhna Roundtrip, transport ,Cairo–Ain Sokhna Roundtrip, per_group ,tour,98 €,9-10 hours, Hiace , 3-7 pax
Hiace Cairo to Ain Sokhna Overnight, transport ,Cairo–Ain Sokhna Overnight, per_group ,tour,158 €,48 hours, Hiace , 3-7 pax
Hiace Cairo to Hurghada transfer, transport ,Cairo–Hurghada Transfer, per_group ,transfer ,139 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to Hurghada Overnight, transport ,Cairo–Hurghada Overnight, per_group ,tour,157 €,48 hours, Hiace , 3-7 pax
Hiace Cairo to Sharm El-Sheikh transfer, transport ,Cairo–Sharm El-Sheikh Transfer, per_group ,transfer ,172 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to Sharm El-Sheikh Overnight, transport ,Cairo–Sharm El-Sheikh Overnight, per_group ,tour,232 €,48 hours, Hiace , 3-7 pax
Hiace Cairo to Marsa Alam transfer, transport ,Cairo–Marsa Alam Transfer, per_group ,transfer ,237 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to Marsa Alam Overnight, transport ,Cairo–Marsa Alam Overnight, per_group ,tour,297 €,48 hours, Hiace , 3-7 pax
Hiace Cairo to Marsa Matrouh transfer, transport ,Cairo–Marsa Matrouh Transfer, per_group ,transfer ,139 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to Marsa Matrouh Overnight, transport ,Cairo–Marsa Matrouh Overnight, per_group ,tour,157 €,48 hours, Hiace , 3-7 pax
Hiace Cairo to Al-Minya transfer, transport ,Cairo–Al-Minya Transfer, per_group ,transfer ,155 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to  Al-Minya Roundtrip, transport ,Cairo–Al-Minya Roundtrip, per_group ,tour,165 €,9-10 hours, Hiace , 3-7 pax
Hiace Cairo to  Al-Minya Overnight, transport ,Cairo–Al-Minya Overnight, per_group ,tour,205 €,48 hours, Hiace , 3-7 pax
Hiace Cairo to Bahariya Oasis transfer, transport ,Cairo–Bahariya Oasis Transfer, per_group ,transfer ,237 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to Bahariya Oasis  Roundtrip, transport ,Cairo–Bahariya Oasis Roundtrip, per_group ,tour,267 €,9-10 hours, Hiace , 3-7 pax
Hiace Cairo to Bahariya Oasis  Overnight, transport ,Cairo–Bahariya Oasis Overnight, per_group ,tour,297 €,48 hours, Hiace , 3-7 pax
Hiace Cairo to Siwa Oasis transfer, transport ,Cairo–Siwa Oasis Transfer, per_group ,transfer ,237 €,3-4 hours, Hiace , 3-7 pax
Hiace Cairo to Siwa Oasis  Roundtrip, transport ,Cairo–Siwa Oasis Roundtrip, per_group ,tour,267 €,9-10 hours, Hiace , 3-7 pax
Hiace Cairo to Siwa Oasis  Overnight, transport ,Cairo–Siwa Oasis Overnight, per_group ,tour,297 €,48 hours, Hiace , 3-7 pax
Coaster Cairo Airport Pickup , transport , Cairo Airport-Hotel , per_group ,transfer ,56 €, One-way airport pickup , Coaster , 8-14 pax
Coaster Cairo Airport Dropoff , transport , Hotel-Cairo Airport , per_group ,transfer ,56 €, One-way airport dropoff , Coaster , 8-14 pax
Coaster Cairo Airport Roundtrip , transport , Cairo Airport-Hotel-Airport , per_group ,transfer ,94 €, Round-trip airport service , Coaster , 8-14 pax
Coaster Giza Station Pickup , transport , Cairo Station-Hotel , per_group ,transfer ,56 €, One-way airport pickup , Coaster , 8-14 pax
Coaster Giza Station Dropoff , transport , Hotel-Cairo Station , per_group ,transfer ,56 €, One-way airport dropoff , Coaster , 8-14 pax
Coaster Cairo Day Tour 4 Hours , transport , Cairo City Day Tour, per_group ,tour,45 €, 4-hour city tour , Coaster , 8-14 pax
Coaster Cairo Day Tour 8 Hours , transport , Cairo City Day Tour, per_group ,tour,60 €, 8-hour city tour , Coaster , 8-14 pax
Coaster Cairo Day Tour 12 Hours , transport , Cairo City Day Tour, per_group ,tour,114 €, 12-hour city tour , Coaster , 8-14 pax
Coaster Cairo Day Tour 8 Hours + Dahshure, transport , Cairo City Day Tour, per_group ,tour,63 €, 8-hour city tour , Coaster , 8-14 pax
Coaster Cairo Sound & Light Show, transport ,Cairo S&L Transfer, per_group ,transfer ,56 €,2 hours, Coaster , 8-14 pax
Coaster Cairo Dinner Nile Cruise, transport ,Cairo Dinner Transfer, per_group ,transfer ,56 €,2-4 hours, Coaster , 8-14 pax
Coaster Cairo Outside Dinner, transport ,Cairo Outside Dinner Transfer, per_group ,transfer ,56 €,2 hours, Coaster , 8-14 pax
Coaster Cairo to Alexandria transfer, transport ,Cairo–Alexandria Transfer, per_group ,transfer ,134 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to Alexandria Roundtrip, transport ,Cairo–Alexandria Roundtrip, per_group ,tour,145 €,9-10 hours, Coaster , 8-14 pax
Coaster Cairo to Alexandria Overnight, transport ,Cairo–Alexandria Overnight, per_group ,tour,225 €,48 hours, Coaster , 8-14 pax
Coaster Cairo to Al Fayoum transfer, transport ,Cairo–Fayoum Transfer, per_group ,transfer ,134 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to Al Fayoum Roundtrip, transport ,Cairo–Fayoum Roundtrip, per_group ,tour,145 €,9-10 hours, Coaster , 8-14 pax
Coaster Cairo to Al Fayoum Overnight, transport ,Cairo–Fayoum Overnight, per_group ,tour,225 €,48 hours, Coaster , 8-14 pax
Coaster Cairo to Ras Sudr transfer, transport ,Cairo–Ras Sudr Transfer, per_group ,transfer ,134 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to Ras Sudr Roundtrip, transport ,Cairo–Ras Sudr Roundtrip, per_group ,tour,145 €,9-10 hours, Coaster , 8-14 pax
Coaster Cairo to Ras Sudr Overnight, transport ,Cairo–Ras Sudr Overnight, per_group ,tour,225 €,48 hours, Coaster , 8-14 pax
Coaster Cairo to Ismailia transfer, transport ,Cairo–Ismailia Transfer, per_group ,transfer ,125 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to Ismailia Roundtrip, transport ,Cairo–Ismailia Roundtrip, per_group ,tour,140 €,9-10 hours, Coaster , 8-14 pax
Coaster Cairo to Ismailia Overnight, transport ,Cairo–Ismailia Overnight, per_group ,tour,220 €,48 hours, Coaster , 8-14 pax
Coaster Cairo to Ain Sokhna transfer, transport ,Cairo–Ain Sokhna Transfer, per_group ,transfer ,125 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to Ain Sokhna Roundtrip, transport ,Cairo–Ain Sokhna Roundtrip, per_group ,tour,140 €,9-10 hours, Coaster , 8-14 pax
Coaster Cairo to Ain Sokhna Overnight, transport ,Cairo–Ain Sokhna Overnight, per_group ,tour,220 €,48 hours, Coaster , 8-14 pax
Coaster Cairo to Hurghada transfer, transport ,Cairo–Hurghada Transfer, per_group ,transfer ,219 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to Hurghada Overnight, transport ,Cairo–Hurghada Overnight, per_group ,tour,299 €,48 hours, Coaster , 8-14 pax
Coaster Cairo to Sharm El-Sheikh transfer, transport ,Cairo–Sharm El-Sheikh Transfer, per_group ,transfer ,230 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to Sharm El-Sheikh Overnight, transport ,Cairo–Sharm El-Sheikh Overnight, per_group ,tour,310 €,48 hours, Coaster , 8-14 pax
Coaster Cairo to Marsa Alam transfer, transport ,Cairo–Marsa Alam Transfer, per_group ,transfer ,329 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to Marsa Alam Overnight, transport ,Cairo–Marsa Alam Overnight, per_group ,tour,409 €,48 hours, Coaster , 8-14 pax
Coaster Cairo to Marsa Matrouh transfer, transport ,Cairo–Marsa Matrouh Transfer, per_group ,transfer ,219 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to Marsa Matrouh Overnight, transport ,Cairo–Marsa Matrouh Overnight, per_group ,tour,299 €,48 hours, Coaster , 8-14 pax
Coaster Cairo to Al-Minya transfer, transport ,Cairo–Al-Minya Transfer, per_group ,transfer ,150 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to  Al-Minya Roundtrip, transport ,Cairo–Al-Minya Roundtrip, per_group ,tour,170 €,9-10 hours, Coaster , 8-14 pax
Coaster Cairo to  Al-Minya Overnight, transport ,Cairo–Al-Minya Overnight, per_group ,tour,280 €,48 hours, Coaster , 8-14 pax
Coaster Cairo to Bahariya Oasis transfer, transport ,Cairo–Bahariya Oasis Transfer, per_group ,transfer ,329 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to Bahariya Oasis  Roundtrip, transport ,Cairo–Bahariya Oasis Roundtrip, per_group ,tour,380 €,9-10 hours, Coaster , 8-14 pax
Coaster Cairo to Bahariya Oasis  Overnight, transport ,Cairo–Bahariya Oasis Overnight, per_group ,tour,409 €,48 hours, Coaster , 8-14 pax
Coaster Cairo to Siwa Oasis transfer, transport ,Cairo–Siwa Oasis Transfer, per_group ,transfer ,329 €,3-4 hours, Coaster , 8-14 pax
Coaster Cairo to Siwa Oasis  Roundtrip, transport ,Cairo–Siwa Oasis Roundtrip, per_group ,tour,380 €,9-10 hours, Coaster , 8-14 pax
Coaster Cairo to Siwa Oasis  Overnight, transport ,Cairo–Siwa Oasis Overnight, per_group ,tour,409 €,48 hours, Coaster , 8-14 pax
Coach Cairo Airport Pickup , transport , Cairo Airport-Hotel , per_group ,transfer ,78 €, One-way airport pickup , Coach , 15-38 pax
Coach Cairo Airport Dropoff , transport , Hotel-Cairo Airport , per_group ,transfer ,78 €, One-way airport dropoff , Coach , 15-38 pax
Coach Cairo Airport Roundtrip , transport , Cairo Airport-Hotel-Airport , per_group ,transfer ,186 €, Round-trip airport service , Coach , 15-38 pax
Coach Giza Station Pickup , transport , Cairo Station-Hotel , per_group ,transfer ,78 €, One-way airport pickup , Coach , 15-38 pax
Coach Giza Station Dropoff , transport , Hotel-Cairo Station , per_group ,transfer ,78 €, One-way airport dropoff , Coach , 15-38 pax
Coach Cairo Day Tour 4 Hours , transport , Cairo City Day Tour, per_group ,tour,85 €, 4-hour city tour , Coach , 15-38 pax
Coach Cairo Day Tour 8 Hours , transport , Cairo City Day Tour, per_group ,tour,120 €, 8-hour city tour , Coach , 15-38 pax
Coach Cairo Day Tour 12 Hours , transport , Cairo City Day Tour, per_group ,tour,205 €, 12-hour city tour , Coach , 15-38 pax
Coach Cairo Day Tour 8 Hours + Dahshure, transport , Cairo City Day Tour, per_group ,tour,130 €, 8-hour city tour , Coach , 15-38 pax
Coach Cairo Sound & Light Show, transport ,Cairo S&L Transfer, per_group ,transfer ,78 €,2 hours, Coach , 15-38 pax
Coach Cairo Dinner Nile Cruise, transport ,Cairo Dinner Transfer, per_group ,transfer ,78 €,2-4 hours, Coach , 15-38 pax
Coach Cairo Outside Dinner, transport ,Cairo Outside Dinner Transfer, per_group ,transfer ,78 €,2 hours, Coach , 15-38 pax
Coach Cairo to Alexandria transfer, transport ,Cairo–Alexandria Transfer, per_group ,transfer ,237 €,3-4 hours, Coach , 15-38 pax
Coach Cairo to Alexandria Roundtrip, transport ,Cairo–Alexandria Roundtrip, per_group ,tour,256 €,9-10 hours, Coach , 15-38 pax
Coach Cairo to Alexandria Overnight, transport ,Cairo–Alexandria Overnight, per_group ,tour,396 €,48 hours, Coach , 15-38 pax
Coach Cairo to Al Fayoum transfer, transport ,Cairo–Fayoum Transfer, per_group ,transfer ,237 €,3-4 hours, Coach , 15-38 pax
Coach Cairo to Al Fayoum Roundtrip, transport ,Cairo–Fayoum Roundtrip, per_group ,tour,256 €,9-10 hours, Coach , 15-38 pax
Coach Cairo to Al Fayoum Overnight, transport ,Cairo–Fayoum Overnight, per_group ,tour,396 €,48 hours, Coach , 15-38 pax
Coach Cairo to Ras Sudr transfer, transport ,Cairo–Ras Sudr Transfer, per_group ,transfer ,237 €,3-4 hours, Coach , 15-38 pax
Coach Cairo to Ras Sudr Roundtrip, transport ,Cairo–Ras Sudr Roundtrip, per_group ,tour,256 €,9-10 hours, Coach , 15-38 pax
Coach Cairo to Ras Sudr Overnight, transport ,Cairo–Ras Sudr Overnight, per_group ,tour,396 €,48 hours, Coach , 15-38 pax
Coach Cairo to Ismailia transfer, transport ,Cairo–Ismailia Transfer, per_group ,transfer ,181 €,3-4 hours, Coach , 15-38 pax
Coach Cairo to Ismailia Roundtrip, transport ,Cairo–Ismailia Roundtrip, per_group ,tour,237 €,9-10 hours, Coach , 15-38 pax
Coach Cairo to Ismailia Overnight, transport ,Cairo–Ismailia Overnight, per_group ,tour,377 €,48 hours, Coach , 15-38 pax
Coach Cairo to Ain Sokhna transfer, transport ,Cairo–Ain Sokhna Transfer, per_group ,transfer ,181 €,3-4 hours, Coach , 15-38 pax
Coach Cairo to Ain Sokhna Roundtrip, transport ,Cairo–Ain Sokhna Roundtrip, per_group ,tour,237 €,9-10 hours, Coach , 15-38 pax
Coach Cairo to Ain Sokhna Overnight, transport ,Cairo–Ain Sokhna Overnight, per_group ,tour,377 €,48 hours, Coach , 15-38 pax
Coach Cairo to Hurghada transfer, transport ,Cairo–Hurghada Transfer, per_group ,transfer ,375 €,3-4 hours, Coach , 15-38 pax
Coach Cairo to Hurghada Overnight, transport ,Cairo–Hurghada Overnight, per_group ,tour,515 €,48 hours, Coach , 15-38 pax
Coach Cairo to Sharm El-Sheikh transfer, transport ,Cairo–Sharm El-Sheikh Transfer, per_group ,transfer ,400 €,3-4 hours, Coach , 15-38 pax
Coach Cairo to Sharm El-Sheikh Overnight, transport ,Cairo–Sharm El-Sheikh Overnight, per_group ,tour,540 €,48 hours, Coach , 15-38 pax
Coach Cairo to Marsa Alam transfer, transport ,Cairo–Marsa Alam Transfer, per_group ,transfer ,528 €,3-4 hours, Coach , 15-38 pax
Coach Cairo to Marsa Alam Overnight, transport ,Cairo–Marsa Alam Overnight, per_group ,tour,668 €,48 hours, Coach , 15-38 pax
Coach Cairo to Marsa Matrouh transfer, transport ,Cairo–Marsa Matrouh Transfer, per_group ,transfer ,375 €,3-4 hours, Coach , 15-38 pax
Coach Cairo to Marsa Matrouh Overnight, transport ,Cairo–Marsa Matrouh Overnight, per_group ,tour,515 €,48 hours, Coach , 15-38 pax
Coach Cairo to Al-Minya transfer, transport ,Cairo–Al-Minya Transfer, per_group ,transfer ,237 €,3-4 hours, Coach , 15-38 pax
Coach Cairo to  Al-Minya Roundtrip, transport ,Cairo–Al-Minya Roundtrip, per_group ,tour,256 €,9-10 hours, Coach , 15-38 pax
Coach Cairo to  Al-Minya Overnight, transport ,Cairo–Al-Minya Overnight, per_group ,tour,396 €,48 hours, Coach , 15-38 pax
Coach Cairo to Bahariya Oasis transfer, transport ,Cairo–Bahariya Oasis Transfer, per_group ,transfer ,528 €,3-4 hours, Coach , 15-38 pax
Coach Cairo to Bahariya Oasis  Roundtrip, transport ,Cairo–Bahariya Oasis Roundtrip, per_group ,tour,600 €,9-10 hours, Coach , 15-38 pax
